year,variable,metric,estimate,share
2023,MERCEDES-BENZ,Hybrid Electric Vehicle,2,3.0703101013202335e-4
2023,MINI,Battery Electric Vehicle,46,0.004482557006431495
2023,NISSAN,Battery Electric Vehicle,266,0.02592087312414734
2023,NISSAN,Hybrid Electric Vehicle,2,3.0703101013202335e-4
2023,NIU,Battery Electric Vehicle,1,9.744689144416293e-5
2023,POLESTAR,Battery Electric Vehicle,56,0.005457025920873124
2023,PORSCHE,Battery Electric Vehicle,40,0.0038978756577665173
2023,PORSCHE,Hybrid Electric Vehicle,2,3.0703101013202335e-4
2023,RIVIAN,Battery Electric Vehicle,714,0.06957708049113233
2023,SATURN,Hybrid Electric Vehicle,1,1.5351550506601167e-4
2023,SMART,Battery Electric Vehicle,2,1.9489378288832586e-4
2023,SUBARU,Battery Electric Vehicle,84,0.008185538881309686
2023,SUBARU,Hybrid Electric Vehicle,18,0.00276327909118821
2023,TESLA,Battery Electric Vehicle,5710,0.5564217501461703
2023,TOYOTA,Battery Electric Vehicle,25,0.0024361722861040735
