date,variable,geography,estimate,share
2020-05-01,Hybrid Electric Vehicle,Snohomish,30,0.013767783386874713
2020-05-01,Internal Combustion Engine,King,5409,0.9519535374868004
2020-05-01,Internal Combustion Engine,Kitsap,841,0.9733796296296297
2020-05-01,Internal Combustion Engine,Pierce,2850,0.9770311964346932
2020-05-01,Internal Combustion Engine,Snohomish,2122,0.9738412115649381
2021-05-01,Battery Electric Vehicle,King,957,0.07545533391153512
2021-05-01,Battery Electric Vehicle,Kitsap,74,0.04956463496316142
2021-05-01,Battery Electric Vehicle,Pierce,127,0.023930657622008668
2021-05-01,Battery Electric Vehicle,Snohomish,221,0.050595238095238096
2021-05-01,Hybrid Electric Vehicle,King,843,0.0664669242292833
2021-05-01,Hybrid Electric Vehicle,Kitsap,69,0.046215673141326186
2021-05-01,Hybrid Electric Vehicle,Pierce,254,0.047861315244017336
2021-05-01,Hybrid Electric Vehicle,Snohomish,262,0.059981684981684984
